Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
SMED30035508	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30008458	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30008977	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30011277	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30015316	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30018553	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30028442	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000104	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000124	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000136	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000139	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000217	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000231	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000490	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000645	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000709	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30000956	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30001366	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30001402	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30002058	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30002066	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30002166	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
